awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
2016,Economic Sciences,8000000,8301051,Oliver Hart,male,Europe
2007,Physiology or Medicine,10000000,11301989,Oliver Smithies,male,Europe
2013,Peace,8000000,8365867,Organisation for the Prohibition of Chemical Weapons,,
2006,Literature,10000000,11552680,Orhan Pamuk,male,Asia
2008,Chemistry,10000000,10926573,Osamu Shimomura,male,Asia
1987,Peace,2175000,4274764,Oscar Arias Sánchez,male,North America
1950,Chemistry,164304,3050198,Otto Diels,male,Europe
1944,Chemistry,121841,2510460,Otto Hahn,male,Europe
1936,Physiology or Medicine,159850,4913422,Otto Loewi,male,Europe
1922,Physiology or Medicine,122483,3145967,Otto Meyerhof,male,Europe
1943,Physics,123691,2520876,Otto Stern,male,Europe
1910,Chemistry,140703,7130220,Otto Wallach,male,Europe
1931,Physiology or Medicine,173206,5238085,Otto Warburg,male,Europe
1959,Physics,220678,2704387,Owen Chamberlain,male,North America
1928,Physics,156939,4458494,Owen Willans Richardson,male,Europe
1971,Literature,450000,3321850,Pablo Neruda,male,South America
1951,Literature,167612,2686090,Pär Lagerkvist,male,Europe
1948,Physics,159773,3056881,Patrick M.S. Blackett,male,Europe
2014,Literature,8000000,8379888,Patrick Modiano,male,Europe
1973,Literature,510000,3331882,Patrick White,male,Europe
1970,Economic Sciences,400000,3177966,Paul A. Samuelson,male,North America
1933,Physics,170332,5413093,Paul A.M. Dirac,male,Europe
1980,Chemistry,880000,2889667,Paul Berg,male,North America
2003,Physiology or Medicine,10000000,11807305,Paul C. Lauterbur,male,North America
1997,Chemistry,7500000,9572839,Paul D. Boyer,male,North America
1908,Physiology or Medicine,139800,7084459,Paul Ehrlich,male,Europe
2000,Physiology or Medicine,9000000,11333109,Paul Greengard,male,North America
1909,Peace,139800,7084459,Paul Henri d'Estournelles de Constant,male,Europe
1910,Literature,140703,7130220,Paul Heyse,male,Europe
1995,Chemistry,7200000,9278351,Paul J. Crutzen,male,Europe
1974,Chemistry,550000,3263449,Paul J. Flory,male,North America
1937,Chemistry,158463,4716161,Paul Karrer,male,Europe
2008,Economic Sciences,10000000,10926573,Paul Krugman,male,North America
2018,Economic Sciences,9000000,9000000,Paul M. Romer,male,North America
2015,Chemistry,8000000,8384572,Paul Modrich,male,North America
1948,Physiology or Medicine,159773,3056881,Paul Müller,male,Europe
1912,Chemistry,140476,6753654,Paul Sabatier,male,Europe
1958,Physics,214559,2646698,Pavel A. Cherenkov,male,Europe
1938,Literature,155077,4543271,Pearl Buck,female,North America
1946,Physics,121524,2503929,Percy W. Bridgman,male,North America
1910,Peace,140703,7130220,Permanent International Peace Bureau,,
2010,Economic Sciences,10000000,10819388,Peter A. Diamond,male,North America
2003,Chemistry,10000000,11807305,Peter Agre,male,North America
1996,Physiology or Medicine,7400000,9490424,Peter C. Doherty,male,Oceania
1936,Chemistry,159850,4913422,Peter Debye,male,Europe
2007,Physics,10000000,11301989,Peter Grünberg,male,Europe
2019,Literature,9000000,9000000,Peter Handke,male,Europe
2013,Physics,8000000,8365867,Peter Higgs,male,Europe
1960,Physiology or Medicine,225987,2664941,Peter Medawar,male,South America
1978,Chemistry,725000,2898454,Peter Mitchell,male,Europe
1966,Physiology or Medicine,300000,2784653,Peyton Rous,male,North America
1959,Peace,220678,2704387,Philip Noel-Baker,male,Europe
1950,Physiology or Medicine,164304,3050198,Philip S. Hench,male,North America
1977,Physics,700000,3080986,Philip W. Anderson,male,North America
1905,Physics,138089,7615202,Philipp Lenard,male,Europe
1993,Physiology or Medicine,6700000,9044276,Phillip A. Sharp,male,North America
1903,Physics,141358,7795478,Pierre Curie,male,Europe
1991,Physics,6000000,8673863,Pierre-Gilles de Gennes,male,Europe
1902,Physics,141847,8059489,Pieter Zeeman,male,Europe
1955,Physics,190214,2681588,Polykarp Kusch,male,Europe
1995,Peace,7200000,9278351,Pugwash Conferences on Science and World Affairs,,
1978,Physics,725000,2898454,Pyotr Kapitsa,male,Europe
1913,Literature,143010,6875481,Rabindranath Tagore,male,Asia
1969,Economic Sciences,375000,3181561,Ragnar Frisch,male,Europe
1967,Physiology or Medicine,320000,2843602,Ragnar Granit,male,Europe
2017,Physics,9000000,9176183,Rainer Weiss,male,Europe
1950,Peace,164304,3050198,Ralph Bunche,male,North America
2011,Physiology or Medicine,10000000,10545557,Ralph M. Steinman,male,North America
1903,Peace,141358,7795478,Randal Cremer,male,Europe
2013,Physiology or Medicine,8000000,8365867,Randy W. Schekman,male,North America
2002,Physics,10000000,12034660,Raymond Davis Jr.,male,North America
1994,Economic Sciences,7000000,9249471,Reinhard Selten,male,Europe
1975,Physiology or Medicine,630000,3404179,Renato Dulbecco,male,Europe
1968,Peace,350000,3052326,René Cassin,male,Europe
2002,Physics,10000000,12034660,Riccardo Giacconi,male,Europe
2004,Physiology or Medicine,10000000,11762861,Richard Axel,male,North America
1996,Chemistry,7400000,9490424,Richard E. Smalley,male,North America
1990,Physics,4000000,6329114,Richard E. Taylor,male,North America
2010,Chemistry,10000000,10819388,Richard F. Heck,male,North America
2017,Economic Sciences,9000000,9176183,Richard H. Thaler,male,North America
2017,Chemistry,9000000,9176183,Richard Henderson,male,Europe
1993,Physiology or Medicine,6700000,9044276,Richard J. Roberts,male,Europe
1938,Chemistry,155077,4543271,Richard Kuhn,male,Europe
1952,Chemistry,171135,2546652,Richard L.M. Synge,male,Europe
1965,Physics,282000,2782895,Richard P. Feynman,male,North America
1991,Chemistry,6000000,8673863,Richard R. Ernst,male,Europe
2005,Chemistry,10000000,11711430,Richard R. Schrock,male,North America
1984,Economic Sciences,1650000,3782090,Richard Stone,male,Europe
1915,Chemistry,149223,6217625,Richard Willstätter,male,Europe
1925,Chemistry,118165,3211005,Richard Zsigmondy,male,Europe
1992,Peace,6500000,9184250,Rigoberta Menchú Tum,female,North America
1986,Physiology or Medicine,2000000,4098361,Rita Levi-Montalcini,female,Europe
1981,Chemistry,1000000,2929688,Roald Hoffmann,male,Europe
1923,Physics,114935,3169164,Robert A. Millikan,male,North America
1998,Physics,7600000,9713701,Robert B. Laughlin,male,North America
1965,Chemistry,282000,2782895,Robert B. Woodward,male,North America
1914,Physiology or Medicine,146900,7062500,Robert Bárány,male,Europe
1997,Economic Sciences,7500000,9572839,Robert C. Merton,male,North America
1996,Physics,7400000,9490424,Robert C. Richardson,male,North America
1937,Peace,158463,4716161,"Robert Cecil, Viscount Cecil of Chelwood",male,Europe
1995,Economic Sciences,7200000,9278351,Robert E. Lucas Jr.,male,North America
1996,Chemistry,7400000,9490424,Robert F. Curl Jr.,male,North America
2003,Economic Sciences,10000000,11807305,Robert F. Engle III,male,North America
1998,Physiology or Medicine,7600000,9713701,Robert F. Furchgott,male,North America
2010,Physiology or Medicine,10000000,10819388,Robert G. Edwards,male,Europe
2005,Chemistry,10000000,11711430,Robert H. Grubbs,male,North America
1961,Physics,250233,2878447,Robert Hofstadter,male,North America
1988,Chemistry,2500000,4645689,Robert Huber,male,Europe
2005,Economic Sciences,10000000,11711430,Robert J. Aumann,male,Europe
2012,Chemistry,8000000,8361204,Robert J. Lefkowitz,male,North America
2013,Economic Sciences,8000000,8365867,Robert J. Shiller,male,North America
1905,Physiology or Medicine,138089,7615202,Robert Koch,male,Europe
1987,Economic Sciences,2175000,4274764,Robert M. Solow,male,North America
1999,Economic Sciences,7900000,10049186,Robert Mundell,male,North America
1966,Chemistry,300000,2784653,Robert S. Mulliken,male,North America
1972,Physics,480000,3345725,Robert Schrieffer,male,North America
1993,Economic Sciences,6700000,9044276,Robert W. Fogel,male,North America
1968,Physiology or Medicine,350000,3052326,Robert W. Holley,male,North America
1978,Physics,725000,2898454,Robert Woodrow Wilson,male,North America
2003,Chemistry,10000000,11807305,Roderick MacKinnon,male,North America
1972,Physiology or Medicine,480000,3345725,Rodney R. Porter,male,Europe
2007,Economic Sciences,10000000,11301989,Roger B. Myerson,male,North America
2006,Chemistry,10000000,11552680,Roger D. Kornberg,male,North America
1977,Physiology or Medicine,700000,3080986,Roger Guillemin,male,Europe
1937,Literature,158463,4716161,Roger Martin du Gard,male,Europe
1981,Physiology or Medicine,1000000,2929688,Roger W. Sperry,male,North America
2008,Chemistry,10000000,10926573,Roger Y. Tsien,male,North America
1996,Physiology or Medicine,7400000,9490424,Rolf M. Zinkernagel,male,Europe
1915,Literature,149223,6217625,Romain Rolland,male,Europe
1967,Chemistry,320000,2843602,Ronald G.W. Norrish,male,Europe
1991,Economic Sciences,6000000,8673863,Ronald H. Coase,male,Europe
1902,Physiology or Medicine,141847,8059489,Ronald Ross,male,Asia
1977,Physiology or Medicine,700000,3080986,Rosalyn Yalow,female,North America
2005,Physics,10000000,11711430,Roy J. Glauber,male,North America
1908,Literature,139800,7084459,Rudolf Eucken,male,Europe
1961,Physics,250233,2878447,Rudolf Mössbauer,male,Europe
1992,Chemistry,6500000,9184250,Rudolph A. Marcus,male,North America
1907,Literature,138796,7033581,Rudyard Kipling,male,Asia
1993,Physics,6700000,9044276,Russell A. Hulse,male,North America
2001,Chemistry,10000000,12295082,Ryoji Noyori,male,Asia
1960,Literature,225987,2664941,Saint-John Perse,male,North America
1969,Physiology or Medicine,375000,3181561,Salvador E. Luria,male,Europe
1959,Literature,220678,2704387,Salvatore Quasimodo,male,Europe
1969,Literature,375000,3181561,Samuel Beckett,male,Europe
1976,Physics,681000,3342605,Samuel C.C. Ting,male,North America
1906,Physiology or Medicine,138536,7421571,Santiago Ramón y Cajal,male,Europe
2015,Physiology or Medicine,8000000,8384572,Satoshi &#332;mura,male,Asia
1976,Literature,681000,3342605,Saul Bellow,male,North America
2011,Physics,10000000,10545557,Saul Perlmutter,male,North America
1995,Literature,7200000,9278351,Seamus Heaney,male,Europe
1974,Peace,550000,3263449,Seán MacBride,male,Europe
1909,Literature,139800,7084459,Selma Lagerlöf,female,Europe
1952,Physiology or Medicine,171135,2546652,Selman A. Waksman,male,Europe
2012,Physics,8000000,8361204,Serge Haroche,male,Africa
1959,Physiology or Medicine,220678,2704387,Severo Ochoa,male,Europe
1979,Physics,800000,2988048,Sheldon Glashow,male,North America
1994,Peace,7000000,9249471,Shimon Peres,male,Europe
2012,Physiology or Medicine,8000000,8361204,Shinya Yamanaka,male,Asia
2003,Peace,10000000,11807305,Shirin Ebadi,female,Asia
1966,Literature,300000,2784653,Shmuel Agnon,male,Europe
2014,Physics,8000000,8379888,Shuji Nakamura,male,Asia
1989,Chemistry,3000000,5242311,Sidney Altman,male,North America
1928,Literature,156939,4458494,Sigrid Undset,female,Europe
1971,Economic Sciences,450000,3321850,Simon Kuznets,male,Europe
1984,Physics,1650000,3782090,Simon van der Meer,male,Europe
1965,Physics,282000,2782895,Sin-Itiro Tomonaga,male,Asia
1930,Literature,172947,5066807,Sinclair Lewis,male,North America
1945,Physiology or Medicine,121333,2499993,Sir Alexander Fleming,male,Europe
1979,Economic Sciences,800000,2988048,Sir Arthur Lewis,male,North America
1925,Peace,118165,3211005,Sir Austen Chamberlain,male,Europe
1970,Physiology or Medicine,400000,3177966,Sir Bernard Katz,male,Europe
1930,Physics,172947,5066807,Sir Chandrasekhara Venkata Raman,male,Asia
1932,Physiology or Medicine,171753,5279293,Sir Charles Sherrington,male,Europe
1956,Chemistry,200123,2699501,Sir Cyril Hinshelwood,male,Europe
1960,Physiology or Medicine,225987,2664941,Sir Frank Macfarlane Burnet,male,Oceania
1929,Physiology or Medicine,172760,4907955,Sir Frederick Hopkins,male,Europe
2018,Chemistry,9000000,9000000,Sir Gregory P. Winter,male,Europe
1996,Chemistry,7400000,9490424,Sir Harold Kroto,male,Europe
1936,Physiology or Medicine,159850,4913422,Sir Henry Dale,male,Europe
1945,Physiology or Medicine,121333,2499993,Sir Howard Florey,male,Oceania
2016,Chemistry,8000000,8301051,Sir J. Fraser Stoddart,male,Europe
1988,Physiology or Medicine,2500000,4645689,Sir James W. Black,male,Europe
2012,Physiology or Medicine,8000000,8361204,Sir John B. Gurdon,male,Europe
1963,Physiology or Medicine,265000,2839286,Sir John Eccles,male,Oceania
2007,Physiology or Medicine,10000000,11301989,Sir Martin J. Evans,male,Europe
1977,Physics,700000,3080986,Sir Nevill F. Mott,male,Europe
1933,Peace,170332,5413093,Sir Norman Angell,male,Europe
2001,Physiology or Medicine,10000000,12295082,Sir Paul Nurse,male,Europe
2019,Physiology or Medicine,9000000,9000000,Sir Peter J. Ratcliffe,male,Europe
2003,Physiology or Medicine,10000000,11807305,Sir Peter Mansfield,male,Europe
1947,Chemistry,146115,2914528,Sir Robert Robinson,male,Europe
1904,Chemistry,140859,7767960,Sir William Ramsay,male,Europe
1972,Chemistry,480000,3345725,Stanford Moore,male,North America
1997,Physiology or Medicine,7500000,9572839,Stanley B. Prusiner,male,North America
1986,Physiology or Medicine,2000000,4098361,Stanley Cohen,male,North America
2014,Chemistry,8000000,8379888,Stefan W. Hell,male,Europe
1997,Physics,7500000,9572839,Steven Chu,male,North America
1979,Physics,800000,2988048,Steven Weinberg,male,North America
1983,Physics,1500000,3715324,Subramanyan Chandrasekhar,male,Asia
1901,Literature,150782,8567159,Sully Prudhomme,male,Europe
1982,Physiology or Medicine,1150000,3102518,Sune K. Bergström,male,Europe
1987,Physiology or Medicine,2175000,4274764,Susumu Tonegawa,male,Asia
1903,Chemistry,141358,7795478,Svante Arrhenius,male,Europe
2015,Literature,8000000,8384572,Svetlana Alexievich,female,Europe
2002,Physiology or Medicine,10000000,12034660,Sydney Brenner,male,Africa
1948,Literature,159773,3056881,T.S. Eliot,male,North America
1950,Physiology or Medicine,164304,3050198,Tadeus Reichstein,male,Europe
2015,Physics,8000000,8384572,Takaaki Kajita,male,Asia
2018,Physiology or Medicine,9000000,9000000,Tasuku Honjo,male,Asia
2011,Peace,10000000,10545557,Tawakkol Karman,female,Asia
1989,Peace,3000000,5242311,The 14th Dalai Lama ,male,Asia
1926,Chemistry,116960,3273134,The Svedberg,male,Europe
1909,Physiology or Medicine,139800,7084459,Theodor Kocher,male,Europe
1902,Literature,141847,8059489,Theodor Mommsen,male,Europe
2005,Physics,10000000,11711430,Theodor W. Hänsch,male,Europe
1906,Peace,138536,7421571,Theodore Roosevelt,male,North America
1914,Chemistry,146900,7062500,Theodore W. Richards,male,North America
1979,Economic Sciences,800000,2988048,Theodore W. Schultz,male,North America
2009,Chemistry,10000000,10958504,Thomas A. Steitz,male,North America
2005,Economic Sciences,10000000,11711430,Thomas C. Schelling,male,North America
2013,Physiology or Medicine,8000000,8365867,Thomas C. Südhof,male,Europe
1933,Physiology or Medicine,170332,5413093,Thomas H. Morgan,male,North America
1954,Physiology or Medicine,181647,2640218,Thomas H. Weller,male,North America
2011,Economic Sciences,10000000,10545557,Thomas J. Sargent,male,North America
1929,Literature,172760,4907955,Thomas Mann,male,Europe
1989,Chemistry,3000000,5242311,Thomas R. Cech,male,North America
2001,Physiology or Medicine,10000000,12295082,Tim Hunt,male,Europe
1975,Economic Sciences,630000,3404179,Tjalling C. Koopmans,male,Europe
1911,Peace,140695,7327865,Tobias Asser,male,Europe
2015,Chemistry,8000000,8384572,Tomas Lindahl,male,Europe
2011,Literature,10000000,10545557,Tomas Tranströmer,male,Europe
1993,Literature,6700000,9044276,Toni Morrison,female,North America
1981,Physiology or Medicine,1000000,2929688,Torsten N. Wiesel,male,Europe
2008,Physics,10000000,10926573,Toshihide Maskawa,male,Asia
1989,Economic Sciences,3000000,5242311,Trygve Haavelmo,male,Europe
1957,Physics,208629,2697789,Tsung-Dao Lee,male,Asia
2015,Physiology or Medicine,8000000,8384572,Tu Youyou,female,Asia
1970,Physiology or Medicine,400000,3177966,Ulf von Euler,male,Europe
2001,Peace,10000000,12295082,United Nations,,
1965,Peace,282000,2782895,United Nations Children's Fund,,
1988,Peace,2500000,4645689,United Nations Peacekeeping Forces,,
2001,Literature,10000000,12295082,V. S. Naipaul,male,North America
1980,Physics,880000,2889667,Val Fitch,male,North America
2009,Chemistry,10000000,10958504,Venkatraman Ramakrishnan,male,Asia
1916,Literature,131793,4845331,Verner von Heidenstam,male,Europe
2002,Economic Sciences,10000000,12034660,Vernon L. Smith,male,North America
1977,Literature,700000,3080986,Vicente Aleixandre,male,Europe
1936,Physics,159850,4913422,Victor F. Hess,male,Europe
1912,Chemistry,140476,6753654,Victor Grignard,male,Europe
1955,Chemistry,190214,2681588,Vincent du Vigneaud,male,North America
2003,Physics,10000000,11807305,Vitaly L. Ginzburg,male,Europe
1975,Chemistry,630000,3404179,Vladimir Prelog,male,Europe
1980,Chemistry,880000,2889667,Walter Gilbert,male,North America
1956,Physics,200123,2699501,Walter H. Brattain,male,Asia
1949,Physiology or Medicine,156290,2930438,Walter Hess,male,Europe
1998,Chemistry,7600000,9713701,Walter Kohn,male,Europe
1954,Physics,181647,2640218,Walther Bothe,male,Europe
1920,Chemistry,134100,2394643,Walther Nernst,male,Europe
2004,Peace,10000000,11762861,Wangari Maathai,female,Africa
1973,Economic Sciences,510000,3331882,Wassily Leontief,male,Europe
1946,Chemistry,121524,2503929,Wendell M. Stanley,male,North America
1978,Physiology or Medicine,725000,2898454,Werner Arber,male,Europe
1956,Physiology or Medicine,200123,2699501,Werner Forssmann,male,Europe
1932,Physics,171753,5279293,Werner Heisenberg,male,Europe
1901,Physics,150782,8567159,Wilhelm Conrad Röntgen,male,Europe
1909,Chemistry,139800,7084459,Wilhelm Ostwald,male,Europe
1911,Physics,140695,7327865,Wilhelm Wien,male,Europe
1960,Chemistry,225987,2664941,Willard F. Libby,male,North America
2009,Physics,10000000,10958504,Willard S. Boyle,male,North America
1924,Physiology or Medicine,116719,3218355,Willem Einthoven,male,Asia
1983,Physics,1500000,3715324,William A. Fowler,male,North America
1956,Physics,200123,2699501,William B. Shockley,male,Europe
1915,Physics,149223,6217625,William Bragg,male,Europe
1923,Literature,114935,3169164,William Butler Yeats,male,Europe
2015,Physiology or Medicine,8000000,8384572,William C. Campbell,male,Europe
2018,Economic Sciences,9000000,9000000,William D. Nordhaus,male,North America
1997,Physics,7500000,9572839,William D. Phillips,male,North America
2014,Chemistry,8000000,8379888,William E. Moerner,male,North America
1949,Chemistry,156290,2930438,William F. Giauque,male,North America
1990,Economic Sciences,4000000,6329114,William F. Sharpe,male,North America
1949,Literature,156290,2930438,William Faulkner,male,North America
2019,Physiology or Medicine,9000000,9000000,William G. Kaelin Jr,male,North America
1983,Literature,1500000,3715324,William Golding,male,Europe
1972,Chemistry,480000,3345725,William H. Stein,male,North America
2001,Chemistry,10000000,12295082,William Knowles,male,North America
1976,Chemistry,681000,3342605,William Lipscomb,male,North America
1934,Physiology or Medicine,162608,5167627,William P. Murphy,male,North America
1996,Economic Sciences,7400000,9490424,William Vickrey,male,North America
1955,Physics,190214,2681588,Willis E. Lamb,male,North America
1971,Peace,450000,3321850,Willy Brandt,male,Europe
1953,Literature,175293,2567769,Winston Churchill,male,Europe
1996,Literature,7400000,9490424,Wislawa Szymborska,female,Europe
1924,Literature,116719,3218355,Wladyslaw Reymont,male,Europe
1986,Literature,2000000,4098361,Wole Soyinka,male,Africa
2001,Physics,10000000,12295082,Wolfgang Ketterle,male,Europe
1989,Physics,3000000,5242311,Wolfgang Paul,male,Europe
1945,Physics,121333,2499993,Wolfgang Pauli,male,Europe
1919,Peace,133127,2377268,Woodrow Wilson,male,North America
1994,Peace,7000000,9249471,Yasser Arafat,male,Africa
1968,Literature,350000,3052326,Yasunari Kawabata,male,Asia
1994,Peace,7000000,9249471,Yitzhak Rabin,male,Asia
2008,Physics,10000000,10926573,Yoichiro Nambu,male,Asia
2016,Physiology or Medicine,8000000,8301051,Yoshinori Ohsumi,male,Asia
1986,Chemistry,2000000,4098361,Yuan T. Lee,male,Asia
2005,Chemistry,10000000,11711430,Yves Chauvin,male,Europe
2000,Physics,9000000,11333109,Zhores Alferov,male,Europe
1980,Chemistry,880000,2889667,Frederick Sanger,male,Europe
1944,Peace,121841,2510460,International Committee of the Red Cross,,
1972,Physics,480000,3345725,John Bardeen,male,North America
1954,Chemistry,181647,2640218,Linus Pauling,male,North America
1911,Chemistry,140695,7327865,Marie Curie,female,Europe
1981,Peace,1000000,2929688,Office of the United Nations High Commissioner for Refugees,,
1963,Peace,265000,2839286,International Committee of the Red Cross,,
